VehicleNumber,Lines,Lat,Lon,Time
3260,9,52.238155,21.118826,2025-01-20 21:04:16
3261,24,52.247078,20.947895,2025-01-20 21:04:17
3262,1,52.225338,20.988691,2025-01-20 21:04:14
3265,1,52.304623,21.025354,2025-01-20 21:04:13
3266,25,52.23098,21.016912,2025-01-20 21:04:16
3267,9,52.24458,21.082785,2025-01-20 21:04:16
3268,9,52.231964,21.021587,2025-01-20 21:04:15
3271,15,52.273182,20.982872,2025-01-20 21:04:14
3273,26,52.2485,21.045437,2025-01-20 21:04:15
3275,9,52.22792,21.002644,2025-01-20 21:04:18
3276,9,52.2056,20.971851,2025-01-20 21:04:17
3277,18,52.197544,21.02408,2025-01-20 21:04:18
3278,26,52.242065,20.912533,2025-01-20 21:04:16
3279,1,52.292324,21.02791,2025-01-20 21:04:11
3280,22,52.27151,20.943552,2025-01-20 21:03:53
3285,33,52.21313,21.006216,2025-01-20 21:04:14
3287,26,52.26671,20.931522,2025-01-20 21:04:14
3289,20,52.23515,20.973524,2025-01-20 21:04:15
3291,23,52.255497,21.034077,2025-01-20 21:04:17
3293,23,52.24639,20.962286,2025-01-20 21:04:18
3294,24,52.25651,20.919073,2025-01-20 21:04:17
3502,2,52.31735,20.961843,2025-01-20 21:03:56
3603,17,52.189087,21.001953,2025-01-20 21:04:19
3604,31,52.18202,20.988922,2025-01-20 21:04:21
3606,31,52.258007,20.996168,2025-01-20 21:04:19
3613,17,52.207558,21.00776,2025-01-20 21:04:18
3614,31,52.18934,21.01962,2025-01-20 21:04:17
3620,10,52.214417,21.02112,2025-01-20 21:04:20
